03-02 00:56:58.441 17121 17305 I TestRunner: started: homeScreen_no_tabs_rendered_when_sections_are_empty(com.podcast.app.ui.HomeScreenTest)
03-02 00:56:58.462  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.462  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) tdshpEnable(1) enSharp(1) enDC(0) enHFG(0)
03-02 00:56:58.462  1444  1808 D MDP     : PQSession:setPipeNum m_PipeNum[1] value[1] ID[a] DCPath[0] DCDone[0] addr[732261df]
03-02 00:56:58.462  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) adl_enable = 0
03-02 00:56:58.462  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.462  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.462  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.462  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) hfg_enable = 0
03-02 00:56:58.462  1444  1808 D AAL     : PQEngineInterface] DpEngineTDSHPConfigFrame(0) shp_enable = 0
03-02 00:56:58.462  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.462  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.462  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.462  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.462  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.462  1444  1808 W AAL     : DpEngine_AAL: relay 1
03-02 00:56:58.462  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigTile(0) InpSize: 795, 1920, OutSize: 795, 1920
03-02 00:56:58.462  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.462  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.462  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.463  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.463  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_aal_size = 36177152
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface(1791345034)::MDP_AAL_output_offset = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_AAL_output_size = 35652864
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileXRight = 551, inTileXLeft = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileYBottom = 543, inTileYTop = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) outTileXRight = 1279, outTileXLeft = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) m_outTileYBottom = 1279, m_outTileYTop = 0
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0)cropOffset[X, Y]=[1, 0], crop[Wid, Hei]=[0, 720]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) outTileXLeft = 0, outTileXRight = 551
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inTileXLeft = 0, inTileXRight = 551
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_out_start_x = 0, HDR_out_end_x = 551, src h: 552,v: 1280
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_hist_end_x = 0, HDR_hist_begin_x = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_first_tile = 0, HDR_last_tile = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inFrameWidth = 720 , middlePosX = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigTile(0) InpSize: 274, 1920, OutSize: 274, 1920
03-02 00:56:58.463  2013  2067 I ChimeraSystemEventListener: appLaunchIntent package name is: com.podcast.app.debug
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.463  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.463  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_aal_size = 12715264
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface(1791345034)::MDP_AAL_output_offset = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_AAL_output_size = 12190976
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileXRight = 719, inTileXLeft = 526
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileYBottom = 719, inTileYTop = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) outTileXRight = 1279, outTileXLeft = 534
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) m_outTileYBottom = 1279, m_outTileYTop = 0
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0)cropOffset[X, Y]=[1, 0], crop[Wid, Hei]=[0, 720]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) outTileXLeft = 526, outTileXRight = 719
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inTileXLeft = 526, inTileXRight = 719
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_out_start_x = 0, HDR_out_end_x = 193, src h: 194,v: 1280
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_hist_end_x = 0, HDR_hist_begin_x = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_first_tile = 0, HDR_last_tile = 0
03-02 00:56:58.463  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inFrameWidth = 720 , middlePosX = 0
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.463  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.466  2013  4843 W ParceledListSlice: Element #30 is 21544 bytes.
03-02 00:56:58.466  2013  3441 I SemDvfsHyPerManager: acquire hyper - AMS_APP_SWITCH/2013@20, type = -999
03-02 00:56:58.466  1464  1492 I mtkpower@impl: [setMode] type:5, enabled:1
03-02 00:56:58.467  1507  2128 I SurfaceFlinger: id=155383 createSurf, flag=24004, Task=44844#155383
03-02 00:56:58.469  1450  1487 I HYPER-HAL: [RequestManager.cpp]acquire(): Acquired ID : 2067581  [2013 / 20]    HINT : AMS_ACT_SWITCH    list :
03-02 00:56:58.469  1450  1487 I mtkpower_client: perf_lock_rel, hdl:76254, pid: 1450, tid:1487
03-02 00:56:58.470  4784  4784 I SemDvfsHyPerManager: acquire hyper - APP_START_SHORT/4784@15, type = -999
03-02 00:56:58.470  1507  2128 I SurfaceFlinger: id=155384 createSurf, flag=84004, ActivityRecord{110314784 u0 com.podcast.app.debug/androidx.activity.ComponentActivity t44844}#155384
03-02 00:56:58.470  1450  1487 I mtkpower_client: perf_lock_acq, hdl:0, dur:0, num:2, pid:1450, tid:1487
03-02 00:56:58.470  1444  1809 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.470  1444  1809 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.470  1444  1809 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.471  1444  1809 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.471  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.471  1444  1808 D MDP     : [PQSessionManager] createPQSession(a) user(0xb4000074f4d46d80)
03-02 00:56:58.471  1444  1808 D MDP     : [PQSessionManager] Duplicated ID[a] found, please check if double createPQSession!
03-02 00:56:58.471  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.471  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.471  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] existed
03-02 00:56:58.471  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] numOfUser[1]
03-02 00:56:58.471  1444  1808 D MDP     : [PQSession] numElements[0] key[0] metaData[0]
03-02 00:56:58.471  1444  1808 D MDP     : [PQSession] setPQParam() id[a] enable[1], scenario[1]
03-02 00:56:58.471  1444  1808 D MDP     : [PQSession] video TS [6500]
03-02 00:56:58.471  1444  1808 D PQ      : PQDSConfig::getEnableStatus check1  time 0 ms
03-02 00:56:58.471  1444  1808 D PQ      : [PQDSConfig] PQDSConfig::getEnableStatus = 1
03-02 00:56:58.471  1444  1808 D PQ      : [PQDSConfig] m_TDSHPTableInit 1
03-02 00:56:58.471  1444  1808 D PQ      : [PQDSConfig] getAshmemContext(SHP_ENABLE) = 1
03-02 00:56:58.471  1444  1808 D PQ      : PQDSConfig::getEnableStatus check2  time 0 ms
03-02 00:56:58.471  1444  1808 D PQ      : [PQDSConfig] PQDSConfig::getUREnableStatus = 1
03-02 00:56:58.471  1444  1808 D MDP     : [PQSession] setDpPqConfig m_svp = 0, enDRE = 0
03-02 00:56:58.471  1444  1808 D MDP     : setPQParam globalPQSupport = [0] globalPQSwitch = [0] globalPQStrength = [0] globalPQType = [0]
03-02 00:56:58.471  1444  1808 D MDP     : [PQSession] setPQparam userId[0x0], scenario[1], enDRE[0]
03-02 00:56:58.471  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.471  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.471  1444  1808 D MDP     : [PQSession] setPQDREParam userId[0x0] scenario[1] enDRE[0]
03-02 00:56:58.471  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.471  1444  1808 D PQ_HDR  : DpAsyncBlit: job:(2070189 164) in:(720, 1280)[720 368] C8s P1.1.1.0.1, alpha 0, sec0 flush:0 Buffer 1035094: plane=3 bufVA={0xa4,0xa4,0xa4} bufMVA={0x0,0x0,0x0} bufSize={0xe1000,0x39800,0x39800} proxy={0xb40000747320b740,0x0,0x0}fence=-1
03-02 00:56:58.471  1444  1808 D PQ_HDR  : DpAsyncBlit: out 0:(1070, 1920)[2176 0] C5 P1.1.1.0.1 R:0 F:0 S:1 A:0 HDR:0 COLOR:0 CCORR:1 sec0 flush:0 Buffer 1035094: plane=1 bufVA={0x9c,0x0,0x0} bufMVA={0x0,0x0,0x0} bufSize={0x4db200,0x0,0x0} proxy={0xb40000747320b840,0x0,0x0}fence=205
03-02 00:56:58.471  1444  1808 D PQ_HDR  : DpAsyncBlit: crop 0:(7.0, 0.0, 713.0, 1280.0) compose:(0, 0, 1070, 1920)
03-02 00:56:58.471  1464  1529 I libPowerHal: [perfLockRel] hdl:76254, idx:2
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.472  1444  1808 D MDP     : PQSession:setPipeNum m_PipeNum[1] value[1] ID[a] DCPath[0] DCDone[0] addr[732261df]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.472  1444  1808 D PQ      : [PQRSZConfig] PQRSZConfig::getUREnableStatus = 1
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.472  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) pqSessionId = a
03-02 00:56:58.472  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.472  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) tdshpEnable(1) enSharp(1) enDC(0) enHFG(0)
03-02 00:56:58.472  1444  1808 D MDP     : PQSession:setPipeNum m_PipeNum[1] value[1] ID[a] DCPath[0] DCDone[0] addr[732261df]
03-02 00:56:58.472  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) adl_enable = 0
03-02 00:56:58.472  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.472  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.472  1464  1529 I libPowerHal: [PD] vendor.samsung. update cmd:1000000 param:-1 pr:6
03-02 00:56:58.472  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) hfg_enable = 0
03-02 00:56:58.472  1444  1808 D AAL     : PQEngineInterface] DpEngineTDSHPConfigFrame(0) shp_enable = 0
03-02 00:56:58.472  1464  1529 I libPowerHal: [perfLockRel] Done for hdl : 76254
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.472  1444  1808 W AAL     : DpEngine_AAL: relay 1
03-02 00:56:58.472  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigTile(0) InpSize: 797, 1920, OutSize: 797, 1920
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.472  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.473  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.473  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_aal_size = 36177152
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface(1791345034)::MDP_AAL_output_offset = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_AAL_output_size = 35652864
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileXRight = 551, inTileXLeft = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileYBottom = 543, inTileYTop = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) outTileXRight = 1279, outTileXLeft = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) m_outTileYBottom = 1279, m_outTileYTop = 0
03-02 00:56:58.473  1450  1487 I mtkpower_client: ret_hdl:76255
03-02 00:56:58.473  1450  1487 I mtkpower_client: perf_lock_rel, hdl:76252, pid: 1450, tid:1487
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0)cropOffset[X, Y]=[1, 0], crop[Wid, Hei]=[0, 720]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) outTileXLeft = 0, outTileXRight = 551
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inTileXLeft = 0, inTileXRight = 551
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_out_start_x = 0, HDR_out_end_x = 551, src h: 552,v: 1280
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_hist_end_x = 0, HDR_hist_begin_x = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_first_tile = 0, HDR_last_tile = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inFrameWidth = 720 , middlePosX = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigTile(0) InpSize: 274, 1920, OutSize: 274, 1920
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.473  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.473  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_aal_size = 12715264
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface(1791345034)::MDP_AAL_output_offset = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_AAL_output_size = 12190976
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileXRight = 719, inTileXLeft = 526
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileYBottom = 719, inTileYTop = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) outTileXRight = 1279, outTileXLeft = 534
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) m_outTileYBottom = 1279, m_outTileYTop = 0
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0)cropOffset[X, Y]=[1, 0], crop[Wid, Hei]=[0, 720]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) outTileXLeft = 526, outTileXRight = 719
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inTileXLeft = 526, inTileXRight = 719
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_out_start_x = 0, HDR_out_end_x = 193, src h: 194,v: 1280
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_hist_end_x = 0, HDR_hist_begin_x = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_first_tile = 0, HDR_last_tile = 0
03-02 00:56:58.473  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inFrameWidth = 720 , middlePosX = 0
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.473  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
